,id,name,aka,link,image_url,worked_as,worked_in,DOB,MOB,YOB,DOD,MOD,YOD
41,1389,Bess Meredyth,Helen MacGlashan|Mrs. Wilfred Lucas|Mrs. Michael Curtiz,https://wfpp.columbia.edu/person/bess-meredyth/,https://wfpp.columbia.edu/wp-content/uploads/Meredyth_CCP_FIG193_WFP-MER021.jpg,adapter|director>co-director|writer>screenwriter>co-screenwriter|comedienne|continuity|extra|actress>film actress|editor>film cutter|actress>musical comedy actress|writer>novelist|writer>scenario writer|writer>source author|title writer,Australia|United States,12,February,1890.0,13,July,1969.0
42,1390,Bessie Barriscale,Mrs. Howard Hickman|Elizabeth Barry Scale,https://wfpp.columbia.edu/person/bessie-barriscale/,https://wfpp.columbia.edu/wp-content/uploads/Barriscale_CCP_FIG110_WFP-BARR021.jpg,accountant|actress>film actress|film company founding partner|producer|actress>theatre actress,United States,8,December,1885.0,30,June,1965.0
43,1393,Beta Breuil,Beta Breil|Betta Breuil|Botta Breuil|Mrs. Breuil|Mrs. Hartmann Breuil|Beta Brevil|Elizabeth Donner Van der Veer|Mrs. Frank M. Willard,https://wfpp.columbia.edu/person/beta-breuil/,https://wfpp.columbia.edu/wp-content/uploads/2013/08/WFP-BRE01.jpg,editor>scenario editor>chief scenario editor|director|producer|writer>scenario writer,United States,,,1876.0,,,
44,21748,Betty Burbridge,Elizabeth Burbridge,https://wfpp.columbia.edu/person/betty-burbridge/,https://wfpp.columbia.edu/wp-content/uploads/2020/08/WFP-BUR02-1-e1597075627555.jpg,continuity|actress>film actress|writer>source author>original story writer|writer>scenario writer|writer>screenwriter,United States,12,December,1894.0,19,September,1987.0
45,22251,Beulah Livingstone,Beulah Livingstone Frank,https://wfpp.columbia.edu/person/beulah-livingstone/,https://wfpp.columbia.edu/wp-content/uploads/2020/11/WFP-LIV01.jpg,writer>journalist|publicist>motion picture press agent|publicist>motion picture publicity department director|writer>novelist>short story writer|theatrical manager,United States,29,May,1886.0,12,January,1975.0
46,1394,Beulah Marie Dix,Mrs. George H. Flebbe,https://wfpp.columbia.edu/person/beulah-marie-dix/,https://wfpp.columbia.edu/wp-content/uploads/2013/08/Dix_CCP_FIG124_WFP-DIX021-269x300.jpg,adapter|writer>novelist|writer>playwright|writer>screenwriter|title writer,United States,25,December,1876.0,25,September,1970.0
47,13883,Bianca Virginia Camagni,,https://wfpp.columbia.edu/person/bianca-virginia-camagni/,https://wfpp.columbia.edu/wp-content/uploads/2017/02/WFP2-CAM01-e1493400333739.jpg,director|actress>film actress|producer|writer>screenwriter,Italy,17,July,1885.0,8,September,1960.0
48,1399,Blanche MacIntosh,Blanche MacIntosh Hubbard|Blanche Mary MacIntosh|Blanche McIntosh,https://wfpp.columbia.edu/person/blanche-macintosh/,,adapter|reader|writer>scenario writer|writer>screenwriter,Great Britain,19,July,1877.0,18,November,1954.0
49,1323,Blanche Sewell,,https://wfpp.columbia.edu/person/blanche-sewell/,https://wfpp.columbia.edu/wp-content/uploads/2013/07/WFP-SEW01.jpg,editor>film cutter,United States,27,October,1898.0,2,February,1949.0
50,1400,Bradley King,Josephine McLaughlin|Mrs. John Griffith Wray|Bradley King Wray|Mrs. George Hiram Boyd,https://wfpp.columbia.edu/person/bradley-king/,https://wfpp.columbia.edu/wp-content/uploads/King_CCP_FIG169_WFP-KIN021.jpg,writer>playwright|writer>scenario writer|writer>screenwriter|stenographer,United States,8,July,1894.0,,,
51,1403,Cándida Beltrán Rendón,Candelaria Beltrán Rendón,https://wfpp.columbia.edu/person/candida-beltran-rendon/,https://wfpp.columbia.edu/wp-content/uploads/Latin_America_CCP_FIG257_WFP-REN011.jpg,musician>composer|director|actress>film actress|producer|writer>screenwriter|set designer,Mexico,2,February,1898.0,,,1985.0
52,1404,Carmen Cartellieri,Franziska Ottilia Cartellieri|Carmen Teschen|Mrs. Emanuel Ziffer Edler von Teschenbruck|Mrs. Mano Ziffer-Teschenbruck,https://wfpp.columbia.edu/person/carmen-cartellieri/,https://wfpp.columbia.edu/wp-content/uploads/2013/08/WFP2-CART09.jpg,writer>screenwriter>co-screenwriter|actress>film actress|producer|actress>theatre actress,Austria|Germany|Hungary,28,June,1891.0,17,October,1953.0
53,1405,Carmen Santos,Maria do Carmo Santos,https://wfpp.columbia.edu/person/carmen-santos/,https://wfpp.columbia.edu/wp-content/uploads/2013/08/WFP-SANT08.jpg,director|actress>film actress|film company founding partner|producer|writer>screenwriter,Brazil,,,1904.0,24,September,1952.0
54,1406,Carmen Toscano,Carmen Toscano Escobedo|Carmen Toscano de Moreno Sánchez|Mrs. Manuel Moreno Sanchez,https://wfpp.columbia.edu/person/carmen-toscano/,,director|filmmaker>documentary maker|editor|writer>playwright|writer>poet|preservationist|producer|writer>screenwriter,Mexico,19,October,1910.0,14,January,1988.0
55,1407,Caroline Frances Pugliese,,https://wfpp.columbia.edu/person/caroline-frances-pugliese/,,cinema proprietor|producer>executive producer|business partner>family business partner>family film business partner|exhibitor>motion picture exhibitor,Australia,17,February,1865.0,4,May,1940.0
56,1408,Caroline Lejeune,C.A. L.|C.A. Lejeune|Mrs. Edward Roffe Thompson,https://wfpp.columbia.edu/person/caroline-lejeune/,,critic>film critic,Great Britain,,,1897.0,,,1973.0
57,10571,Caroline van Dommelen,Caroline van Lancker-van Dommelen,https://wfpp.columbia.edu/person/caroline-van-dommelen/,https://wfpp.columbia.edu/wp-content/uploads/2014/11/WFP2-DOMM01-e1416410788352.jpg,director>co-director|actress>film actress|writer>journalist|writer>playwright|writer>screenwriter|actress>theatre actress|director>theatre director,The Netherlands,9,November,1874.0,4,March,1957.0
58,14923,Christiane Mendelys,Christiane Wague|Clotilde Marigaux|Christiane Mandelys|Christiane Mendelyes|“Le Rat du Moulin”,https://wfpp.columbia.edu/person/christiane-mendelys/,https://wfpp.columbia.edu/wp-content/uploads/2017/08/WFP2-MEND09-featured-image.jpg,musician>composer|actress>film actress|critic>film critic|pantomime|scenarist|writer>screenwriter|actress>theatre actress,France,3,December,1873.0,18,May,1957.0
59,11135,Cissy Fitzgerald,Marie Kathleen Cecilia Fitzgerald|Mrs. Oliver Mark Tucker|The Girl with the Wink,https://wfpp.columbia.edu/person/cissy-fitzgerald/,https://wfpp.columbia.edu/wp-content/uploads/2014/08/WFP-FITZ01.jpg,dancer|actress>film actress|film company owner|producer|actress>theatre actress,United States,1,February,1873.0,10,May,1941.0
60,1409,Clara Beranger,Clara S. Beranger|Charles S. Beranger|Mrs. William DeMille|Mrs. Albert B. Berwanger,https://wfpp.columbia.edu/person/clara-beranger/,https://wfpp.columbia.edu/wp-content/uploads/How_Women_Worked_Fig40_WFP-BERA011.jpg,adapter|scenarist|writer>screenwriter,United States,14,January,1886.0,10,September,1956.0
61,1411,Clara Kimball Young,,https://wfpp.columbia.edu/person/clara-kimball-young/,https://wfpp.columbia.edu/wp-content/uploads/2011/11/WFP-YOU07.jpg,actress>film actress|producer|actress>theatre actress,United States,6,September,1890.0,15,October,1960.0
62,1418,Clare West,Clair West|Claire West,https://wfpp.columbia.edu/person/clare-west/,https://wfpp.columbia.edu/wp-content/uploads/2011/11/WFP-WES02.jpg,costume designer,United States,30,January,1879.0,13,March,1961.0
63,17726,Cleo de Verberena,Jacyra Martins da Silveira,https://wfpp.columbia.edu/person/cleo-de-verberena/,https://wfpp.columbia.edu/wp-content/uploads/2018/11/WFP-VER06-e1542400402414.jpg,director|actress>film actress|film company founding partner|film company owner,Brazil,26,June,1904.0,6,October,1972.0
64,1420,Cleo Madison,Lulu Bailey|Lulu Peake,https://wfpp.columbia.edu/person/cleo-madison/,https://wfpp.columbia.edu/wp-content/uploads/Madison_CCP_FIGX_WFP-MAD031.jpg,director>co-director|producer>co-producer|writer>screenwriter>co-screenwriter|actress>film actress|actress>theatre actress,United States,26,March,1883.0,11,March,1964.0
65,1421,Constance Talmadge,,https://wfpp.columbia.edu/person/constance-talmadge/,https://wfpp.columbia.edu/wp-content/uploads/2012/08/constance-talmage.jpg,actress>film actress|producer,United States,19,April,1898.0,23,November,1973.0
66,20328,Cora Johnstone Best,,https://wfpp.columbia.edu/person/cora-johnstone-best/,https://wfpp.columbia.edu/wp-content/uploads/2019/11/WFP-BEST02-featured-image.jpg,lecturer,United States,,,1878.0,19,November,1930.0
67,1423,Corinne Griffith,Corinne Griffin|Mrs. Walter Morosco|Mrs. Webster Campbell|Mrs. George Marshall|Mrs. Danny Scholl,https://wfpp.columbia.edu/person/corinne-griffith/,https://wfpp.columbia.edu/wp-content/uploads/Griffith_CCP_FIG150B_WFP-GRI051.jpg,company director|musician>composer|actress>film actress|producer|actress>theatre actress|writer,United States,21,November,1894.0,13,July,1979.0
68,1434,Cube Bonifant,Luz Alba|Aura Stella,https://wfpp.columbia.edu/person/cube-bonifant/,https://wfpp.columbia.edu/wp-content/uploads/2012/02/WFP-BON01.jpg,extra|actress>film actress|critic>film critic|writer,Mexico,,,1904.0,,August,1993.0
69,10466,Daisy Sylvan,Elena Mazzantini|Mrs. Francesco Rosso,https://wfpp.columbia.edu/person/daisy-sylvan-2/,https://wfpp.columbia.edu/wp-content/uploads/2014/07/02-e1407252228265.jpg,director|actress>film actress|producer,Italy,12,July,1874.0,19,May,1946.0
70,15245,Diana Karenne,Leukadia (or Leucadia) Konstantin|Anna Karènne|Diana Karren,https://wfpp.columbia.edu/person/diana-karenne/,https://wfpp.columbia.edu/wp-content/uploads/2017/09/Diana-Karenne-Featured-Image.jpg,director|extra|actress>film actress|film company owner|producer|writer>screenwriter,France|Germany|Italy,,,1888.0,14,October,1940.0
