,id,name,aka,link,image_url,worked_as,worked_in,DOB,MOB,YOB,DOD,MOD,YOD
86,1466,Elizabeth B. Grimball,,https://wfpp.columbia.edu/person/elizabeth-b-grimball/,https://wfpp.columbia.edu/wp-content/uploads/Grimball_CCP_FIG153_WFP-GRIM011.jpg,writer>playwright|producer|writer>scenario writer|actress>theatre actress|director>theatre director|entrepreneur>theatrical entrepreneur,United States,30,August,1875.0,,,1953.0
87,1468,Elizabeth Chevalier Pickett,Elizabeth Chevalier,https://wfpp.columbia.edu/person/elizabeth-chevalier-pickett/,https://wfpp.columbia.edu/wp-content/uploads/Pickett_ccp_figx_WFP-PICK011.jpg,director|filmmaker>documentary maker|writer>novelist|writer>screenwriter,United States,25,March,1896.0,3,January,1984.0
88,14897,Elizabeth McGaffey,Bessie McGaffey|E.B. McGaffey,https://wfpp.columbia.edu/person/elizabeth-mcgaffey/,https://wfpp.columbia.edu/wp-content/uploads/2017/08/WFP-MCG01.jpg,head of studio research department|writer>journalist|play reader|researcher|writer>screenwriter|script reader|studio librarian|actress>theatre actress,United States,17,January,1875.0,13,March,1944.0
89,21098,Elizaveta Svilova,Elizaveta Schnitt|Elizaveta Vertova-Svilova|Yelizaveta Ignatevna Svilova|Yelizaveta Svilova,https://wfpp.columbia.edu/person/elizaveta-svilova/,https://wfpp.columbia.edu/wp-content/uploads/2020/02/Svilova-Editing-MWAMC-frame-grab.jpeg,preservationist>archivist|director>assistant director|director>co-director|editor,Russia and former Soviet Union,5,September,1900.0,11,November,1975.0
90,12602,Ellen O’Mara Sullivan,Ellen O’Mara|Nell O’Mara|Ellen O’Mara Sullivan|Nell O’Mara Sullivan|Nell Sullivan|Mrs. E. Sullivan,https://wfpp.columbia.edu/person/ellen-omara-sullivan/,https://wfpp.columbia.edu/wp-content/uploads/2016/05/WFP2-OMARA01.jpg,company director>company co-director|distributor|film company founding partner|film company owner|producer,Ireland|United States,6,June,1882.0,17,May,1919.0
91,4,Eloyce King Patrick Gist,,https://wfpp.columbia.edu/person/eloyce-king-patrick-gist/,,director>co-director|producer>co-producer|writer>screenwriter>co-screenwriter|editor,United States,21,October,1892.0,,,1974.0
92,10776,Elsa Chauvel,Elsie May Wilcox|Elsa Silveni/Sylvaney|Ann Wynn,https://wfpp.columbia.edu/person/elsa-chauvel/,https://wfpp.columbia.edu/wp-content/uploads/2015/07/WFP-CHAU02.jpg,director>assistant director|producer>assistant producer|writer>screenwriter>co-screenwriter|continuity|costume designer|dialogue director|actress>film actress|make-up supervisor|production assistant|stunt person|actress>theatre actress,Australia|United States,10,February,1898.0,,August,1983.0
93,1470,Elsie Jane Wilson,Mrs. Rupert Julian,https://wfpp.columbia.edu/person/elsie-jane-wilson/,,director|actress>film actress|writer>screenwriter,United States,7,November,1890.0,16,January,1965.0
94,12268,Elvira Giallanella,,https://wfpp.columbia.edu/person/elvira-giallanella/,https://wfpp.columbia.edu/wp-content/uploads/2015/06/WFP2-GIA01.jpg,director|distributor|film company owner|producer|writer>screenwriter,Italy,10,July,1885.0,15,September,1965.0
95,1472,Elvira Notari,Elvira Coda Notari|The General,https://wfpp.columbia.edu/person/elvira-notari/,https://wfpp.columbia.edu/wp-content/uploads/2011/12/WFP2-NOT02featured.jpg,educator>acting teacher|adapter|director>co-director|distributor|actress>film actress|film company owner|producer|writer>screenwriter,Italy,10,February,1875.0,17,December,1946.0
96,9728,Emilia Saleny,Josefina Emilia Saleny|Emilia Saleny Ferrari,https://wfpp.columbia.edu/person/emilia-saleny-2/,https://wfpp.columbia.edu/wp-content/uploads/2013/12/WFP-SAL01-e1391529109275.jpg,educator>acting teacher|director|actress>film actress|actress>theatre actress,Argentina,26,June,1894.0,22,August,1978.0
97,17864,Emilie Sannom,Mille|Emilie Kristine Valborg Sannom,https://wfpp.columbia.edu/person/emilie-sannom/,https://wfpp.columbia.edu/wp-content/uploads/2018/11/WFP2-SANN07-e1544821231224.jpg,actress>film actress|writer>screenwriter|stunt designer|stunt person|actress>theatre actress,Denmark|Germany|Italy,29,September,1886.0,30,August,1931.0
98,11709,Emma Gendron,Manon|Mrs. Allan Robert Green,https://wfpp.columbia.edu/person/emma-gendron/,,writer>journalist|writer>playwright|writer>screenwriter,Canada,,,1895.0,,,1953.0
99,9897,Encarnacion Rosa Scott,Mrs. Walter Comrie Scott,https://wfpp.columbia.edu/person/encarnacion-rosa-scott/,,distributor>distribution company founder|distributor>distribution company managing director|film company shareholder|distributor>film dealer|film printing company managing director|distributor>film renter,Great Britain,,,1887.0,4,December,1953.0
100,1474,Enid Lorimer,Enid Bosworth Nunn|Mrs. Wentworth Zerffi,https://wfpp.columbia.edu/person/enid-lorimer/,,business partner>business co-owner|writer>screenwriter>co-screenwriter|scenarist|actress>theatre actress|entrepreneur>theatrical entrepreneur|title writer,Great Britain,27,December,1887.0,15,July,1982.0
101,1476,Esfir Shub,Eshter Il'inichna Shub,https://wfpp.columbia.edu/person/esfir-shub/,https://wfpp.columbia.edu/wp-content/uploads/2011/11/WFP2-SHU02.jpg,director|filmmaker>documentary maker|editor|writer>screenwriter,Russia and former Soviet Union,16,March,1894.0,21,September,1959.0
102,1114,Eslanda Robeson,Eslanda Cardozo Goode Robeson,https://wfpp.columbia.edu/person/eslanda-robeson/,https://wfpp.columbia.edu/wp-content/uploads/African_American_Women_in_the_Silent_Film_Industry_WFP-ROB031.jpg,actress>film actress|agent>talent manager|writer,United States,15,December,1896.0,,,1965.0
103,11357,Esterina Zuccarone,,https://wfpp.columbia.edu/person/esterina-zuccarone/,,editor|forewoman|laboratory worker|metalworker|seamstress|technician,Italy,7,July,1904.0,24,September,1998.0
104,10420,Esther Eng,Ng Kam Ha 伍錦霞,https://wfpp.columbia.edu/person/esther-eng/,https://wfpp.columbia.edu/wp-content/uploads/2014/07/WFP2-ENG07.jpg,director>co-director|distributor|producer|writer>screenwriter,China|United States,24,September,1914.0,25,January,1970.0
105,1478,Ethel Grandin,Mrs. Ray Smallwood,https://wfpp.columbia.edu/person/ethel-grandin/,https://wfpp.columbia.edu/wp-content/uploads/2011/11/WFP-GRAN03.jpg,actress>film actress|film company founding partner|producer|actress>theatre actress,United States,3,March,1894.0,7,September,1988.0
106,1480,Eugenie Magnus Ingleton,Anne Eugenie Magnus|Eugenie Leonard|Mrs. Fred W. Leonard|E. M. Ingleton|E. Magnus Ingleton|Mrs. Eugenie Ingleton,https://wfpp.columbia.edu/person/eugenie-magnus-ingleton/,https://wfpp.columbia.edu/wp-content/uploads/2020/01/Eugenie_Magnus_Ingleton_1915.jpg,adapter|director|producer|editor>scenario editor|writer>scenario writer|writer>screenwriter|actress>theatre actress,United States,24,April,1874.0,3,August,1936.0
107,21695,Eva Nil,Eva Comello,https://wfpp.columbia.edu/person/eva-nil/,https://wfpp.columbia.edu/wp-content/uploads/2020/07/WFP2-NIL01-scaled.jpg,actress>film actress|film company owner|producer,Brazil,25,June,1909.0,15,August,1990.0
108,1481,Eve Unsell,Mrs. Lester Blankfield|Oliver W. Geoffreys|E. M. Unsell,https://wfpp.columbia.edu/person/eve-unsell/,https://wfpp.columbia.edu/wp-content/uploads/2012/02/WFP-UNS01.jpg,adapter|company director|continuity|editor|play reader|writer>scenario writer|writer>screenwriter|actress>theatre actress,United States,6,December,1887.0,6,July,1937.0
109,11906,Fabienne Fabrèges,,https://wfpp.columbia.edu/person/fabienne-fabreges/,https://wfpp.columbia.edu/wp-content/uploads/2014/09/WFP2-FAB02.jpg,director|actress>film actress|writer>screenwriter|actress>theatre actress,France|Italy,,,,,,
110,14312,Fan Xuepeng,范雪朋|姚雄飛,https://wfpp.columbia.edu/person/fan-xuepeng/,https://wfpp.columbia.edu/wp-content/uploads/2017/05/WFP2-FAN04-featured-e1494880549630.jpg,actress>film actress|film company owner|producer|recording engineer|special effects designer|actress>theatre actress,China|China,,,1908.0,,,1974.0
111,10702,Fanchon Royer,Mrs. Ray Cannon|Mrs. Jack Gallagher,https://wfpp.columbia.edu/person/fanchon-royer-2/,https://wfpp.columbia.edu/wp-content/uploads/2014/11/WFP-ROY04.jpg,extra|critic>film critic|writer>journalist>magazine editor>film magazine editor|producer|publicist|agent>talent agent,United States,21,January,1902.0,13,December,1981.0
112,1483,Fay Tincher,,https://wfpp.columbia.edu/person/fay-tincher/,https://wfpp.columbia.edu/wp-content/uploads/Tincher_CCP_FIG235_WFP-TIN011.jpg,comedienne|director|actress>film actress|film company owner|producer|writer>screenwriter|actress>theatre actress,United States,17,April,1884.0,11,October,1983.0
113,10414,Fernanda Nissen,,https://wfpp.columbia.edu/person/fernanda-nissen/,,censor>film censor|writer>journalist|critic>theatre critic,Norway,15,August,1862.0,3,April,1920.0
114,1490,Flora Finch,,https://wfpp.columbia.edu/person/flora-finch/,https://wfpp.columbia.edu/wp-content/uploads/Finch_CPP_FIG135_WFP-FIN011-e1380208109660.jpg,comedienne|actress>film actress|film company owner|producer|actress>theatre actress,United States,17,June,1869.0,4,January,1940.0
115,1493,Florence Lawrence,Florence Annie Bridgwood|“Flo” Lawrence|“The Biograph Girl|Mrs. Harry Solter|Mrs. Charles Woodring|Mrs. Henry Bolton.,https://wfpp.columbia.edu/person/florence-lawrence/,https://wfpp.columbia.edu/wp-content/uploads/Lawrence_CCP_FIG172_WFP-LAW011.jpg,actress>film actress|producer|actress>theatre actress,United States,2,January,1886.0,27,December,1938.0
116,1497,Florence Turner,The Vitagraph Girl,https://wfpp.columbia.edu/person/florence-turner/,https://wfpp.columbia.edu/wp-content/uploads/Turner_CCP_FIG239_WFP-TURNE011.jpg,accountant|director|actress>film actress|film company owner|music hall performer|producer|writer>screenwriter|costume designer>wardrobe mistress,Great Britain|United States,6,January,1887.0,28,August,1946.0
117,17185,Frances Baker Farrell,Frances Baker|Frances Farrell|Frances Trench|Frances C. Trench|Frances Cautley Baker,https://wfpp.columbia.edu/person/frances-baker-farrell/,https://wfpp.columbia.edu/wp-content/uploads/2018/11/WFP2-FARR01.jpg,location scout|set designer|weaver,Ireland,,October,1902.0,,,1982.0
118,1499,Frances Marion,Frank M. Clifton (pseudonym used 1925–1928)|Francis Marion|Frances Marion Owen(s)|Marion Benson Owens|Marion Frances Owens,https://wfpp.columbia.edu/person/frances-marion/,https://wfpp.columbia.edu/wp-content/uploads/Marion_CCP_FIGX_WFP-MAR011.jpg,adapter|director>co-director|actress>film actress|writer>scenario writer|writer>screenwriter,United States,18,November,1888.0,12,May,1973.0
119,1506,Frances Taylor Patterson,,https://wfpp.columbia.edu/person/frances-taylor-patterson/,https://wfpp.columbia.edu/wp-content/uploads/2014/01/WFP-PAT01-e1389386006601.jpg,scholar>film scholar|writer>screenwriter,United States,,,,,,
120,16476,Francesca Bertini,Elena Seracini Vitiello|Elena Taddei Vitiello,https://wfpp.columbia.edu/person/francesca-bertini/,https://wfpp.columbia.edu/wp-content/uploads/2014/07/Bertini7.jpg,director|actress>film actress|producer|writer>screenwriter|actress>theatre actress,Italy,5,January,1892.0,13,October,1985.0
121,1507,Frederica Sagor Maas,Frederica Maas|Frederica Sagor|Frederica Alexandrina Sagor,https://wfpp.columbia.edu/person/frederica-sagor-maas/,https://wfpp.columbia.edu/wp-content/uploads/2012/02/WFP-MAA01.jpg,editor>scenario editor|writer>screenwriter,United States,6,July,1900.0,5,January,2012.0
122,1509,Gabriela von Bussenius Vega,The first Chilean female filmmaker|Mrs. Salvador Giambastiani|Gaby von Bussenius Vega,https://wfpp.columbia.edu/person/gaby-von-bussenius-vega/,https://wfpp.columbia.edu/wp-content/uploads/CCP_FIG263_Vega_WFP-VEG011.jpg,art director|critic>film critic|writer>journalist|writer>novelist|writer>playwright|producer|writer>screenwriter|writer>source author|director>theatre director,Chile,,,1901.0,28,January,1975.0
123,1511,Gale Henry,The Elongated Comedienne,https://wfpp.columbia.edu/person/gale-henry/,https://wfpp.columbia.edu/wp-content/uploads/Henry_CCP_FIG159A_WFP-HEN051.jpg,actress>film actress|producer|writer>scenario writer|actress>theatre actress,United States,15,April,1893.0,6,June,1972.0
124,21928,Gemma Bellincioni,Gemma Stagno-Bellincioni,https://wfpp.columbia.edu/person/gemma-bellincioni/,https://wfpp.columbia.edu/wp-content/uploads/2020/09/WFP2-BELL01.jpg,director|actress>film actress|musician>singer>opera singer|producer|writer>screenwriter,Italy,18,August,1864.0,24,April,1950.0
125,1519,Gene Gauntier,Mrs. Jack Clark|Genevieve G. Liggett|The first “Kalem Girl”,https://wfpp.columbia.edu/person/gene-gauntier/,https://wfpp.columbia.edu/wp-content/uploads/Gauntier_CPP_FIG137_WFP-GAU011.jpg,director>co-director|company director>company co-director|actress>film actress|producer|writer>scenario writer|writer>screenwriter|writer>source author,United States,17,May,1885.0,18,December,1966.0
126,12350,Georgette Méliès,Mademoiselle Méliès|Madame Méliès-Fix|Georgette Fontaine,https://wfpp.columbia.edu/person/georgette-melies/,https://wfpp.columbia.edu/wp-content/uploads/2016/10/WFP2-MELI01.jpg,camera operator|actress>film actress|projectionist|manager>theatre manager,France,22,March,1888.0,29,August,1930.0
127,1370,Gerd Egede-Nissen,,https://wfpp.columbia.edu/person/gerd-egede-nissen/,,actress>film actress,Denmark|Germany|Norway,,,1895.0,,,1988.0
128,12583,Gerda Hintze,Gerda Amanda Hintze,https://wfpp.columbia.edu/person/gerda-hintze/,https://wfpp.columbia.edu/wp-content/uploads/2016/05/WFP2-HIN01-featured-image-e1463064465753.jpg,writer>screenwriter,Finland,24,February,1905.0,22,February,1977.0
129,1523,Gertrude Atherton,Gertrude Franklin Horn Atherton,https://wfpp.columbia.edu/person/gertrude-atherton/,https://wfpp.columbia.edu/wp-content/uploads/2011/11/WFP-ATH01.jpg,writer>novelist|writer>screenwriter|writer>source author,United States,14,January,1858.0,,,1948.0
130,1524,Gertrude Homan Thanhouser,,https://wfpp.columbia.edu/person/gertrude-homan-thanhouser/,https://wfpp.columbia.edu/wp-content/uploads/2011/11/WFP-THA02.jpg,editor|executive|producer>executive producer|actress>film actress|film company founding partner|writer>screenwriter|secretary,United States,23,April,1882.0,29,May,1951.0
131,18173,Giulia Cassini-Rizzotto,,https://wfpp.columbia.edu/person/giulia-cassini-rizzotto/,https://wfpp.columbia.edu/wp-content/uploads/2019/05/WFP2-RIZ03.jpg,educator>acting teacher|director|actress>film actress|producer|writer>screenwriter|actress>theatre actress,Italy,15,June,1865.0,24,August,1943.0
132,12759,Gladys Hall,Elizabeth Ball|Gladys Ball|Janet Reid|Faith Service|Russell E. Smith,https://wfpp.columbia.edu/person/gladys-hall/,https://wfpp.columbia.edu/wp-content/uploads/2016/05/WFP-HALL01.jpg,writer>journalist>celebrity interviewer|writer>journalist>magazine editor>fan magazine editor|writer>journalist>fan magazine writer,United States,26,April,1891.0,18,September,1977.0
133,1525,Gladys Rosson,Gladys Rossen,https://wfpp.columbia.edu/person/gladys-rosson/,https://wfpp.columbia.edu/wp-content/uploads/2012/02/WFP-ROS01.jpg,accountant|secretary>executive secretary|secretary-treasurer|typist,United States,6,Februrary,1891.0,14,June,1953.0
134,1526,Gloria Swanson,Gloria May Josephine Svensson|Gloria Mae Swanson|Josephine Swenson|Mrs. Herbert Somborn|Mrs. Henri the Marquis de la Falaise de la Coudraye,https://wfpp.columbia.edu/person/gloria-swanson/,https://wfpp.columbia.edu/wp-content/uploads/Swanson_CCP_FIG226_WFP-SWA041.jpg,actress>film actress|producer,United States,27,March,1899.0,4,April,1983.0
135,1527,Grace Cunard,Harrier Milfred Jeffries|Mrs. Jack Shannon|The Master Pen,https://wfpp.columbia.edu/person/grace-cunard/,https://wfpp.columbia.edu/wp-content/uploads/Cunard_FIG116_WFP-CUN011.jpg,director>co-director|actress>film actress|writer>screenwriter,United States,8,April,1893.0,19,January,1967.0
136,14266,Greta Håkansson,,https://wfpp.columbia.edu/person/greta-hakansson/,https://wfpp.columbia.edu/wp-content/uploads/2016/12/WFP2-HAK01.jpg,musician>conductor|musician>film accompanist,Sweden,,,1890.0,,,1961.0
137,1528,Gurly Drangsholt,Gurly Anker-Holth|Mrs. Hamilton Murray,https://wfpp.columbia.edu/person/gurly-drangsholt/,https://wfpp.columbia.edu/wp-content/uploads/2013/09/WFP2-DRA01-covercrop2.png,director>assistant director|writer>screenwriter>co-screenwriter|head of production,Norway,23,May,1890.0,8,March,1960.0
138,1529,Gwladys: Marchioness of Townshend,G.E.G.E. Townshend of Raynham|The Marchioness of Townshend of Raynham|Gwladys Ethel Gwendolen Eugénie Sutherst|Gladys Ethyl Gwendolen Eugenia Sutherst Townshend,https://wfpp.columbia.edu/person/gwladys-marchioness-of-townshend/,https://wfpp.columbia.edu/wp-content/uploads/2012/02/WFP2-TOW2Dcovercrop.jpg,writer>novelist|writer>playwright|writer>scenario writer|writer>screenwriter,Great Britain,,,1884.0,10,October,1959.0
139,14908,Harriet Bloch,Harriet Fussing,https://wfpp.columbia.edu/person/harriet-bloch/,https://wfpp.columbia.edu/wp-content/uploads/2017/06/WFP2-BLO01.jpg,writer>screenwriter,Denmark|Germany|Sweden,26,July,1881.0,1,April,1975.0
140,1564,Harriet Parsons,,https://wfpp.columbia.edu/person/harriet-parsons/,,director|actress>film actress|writer>journalist|producer,United States,23,August,1906.0,2,January,1983.0
141,13509,Haydée Chikly,Haydée Tamzali|Haydée Chikli,https://wfpp.columbia.edu/person/haydee-chikly/,https://wfpp.columbia.edu/wp-content/uploads/2014/12/WFP2-CHIK01.jpg,actress>film actress|film colorist|editor>film cutter|writer>journalist|writer>screenwriter,Tunisia,23,August,1906.0,,August,1998.0
142,15770,Hazel Burnett,Hazel Wooden Manzor Burnett Megaw,https://wfpp.columbia.edu/person/hazel-burnett/,https://wfpp.columbia.edu/wp-content/uploads/2018/01/WFP-BURNE01-featured-image.jpg,musician>film accompanist,United States,12,September,1892.0,10,June,1973.0
143,1531,Helen Gardner,,https://wfpp.columbia.edu/person/helen-gardner/,https://wfpp.columbia.edu/wp-content/uploads/Gardner_CPP_FIG136_WFP-GAR011.jpg,director|actress>film actress|film company owner|producer|writer>scenario writer,United States,2,September,1884.0,20,November,1968.0
144,1532,Helen Holmes,Mrs. J.P. McGowan|Mrs. Lloyd Saunders,https://wfpp.columbia.edu/person/helen-holmes/,https://wfpp.columbia.edu/wp-content/uploads/Holmes_CCP_FIG161B_WFP-HOL011.jpg,animal trainer|producer>co-producer|director|actress>film actress|writer>screenwriter|stunt person,United States,7,July,1892.0,9,July,1950.0
145,1533,Helen Keller,Helen Adams Keller,https://wfpp.columbia.edu/person/helen-keller/,https://wfpp.columbia.edu/wp-content/uploads/CCP_FIG167C_KELLER_WFP-KELH011.jpg,actress>film actress|producer|writer,United States,27,June,1880.0,1,June,1968.0
146,15129,Helen Wang,Wang Hanlun/王漢倫|Peng Jianqing/彭劍青,https://wfpp.columbia.edu/person/helen-wang/,https://wfpp.columbia.edu/wp-content/uploads/2015/07/WFP2-WANGH02-e1505159308347.jpg,director>co-director|distributor|editor|actress>film actress|producer,China,,,1903.0,,,1978.0
147,16002,Helena Cortesina,Elena Cortesina|Elena Manuela Dolores Cortés Altabas,https://wfpp.columbia.edu/person/helena-cortesina/,https://wfpp.columbia.edu/wp-content/uploads/2017/10/WFP2-CORT01.jpg,director|actress>film actress|film company owner|producer|actress>theatre actress|entrepreneur>theatrical entrepreneur,Spain,17,July,1903.0,7,March,1984.0
148,18472,Helena Smith Dayton,Helena Smith|Helena Smith-Dayton,https://wfpp.columbia.edu/person/helena-smith-dayton/,https://wfpp.columbia.edu/wp-content/uploads/2019/07/WFP-DAY01-copy.jpg,animator|director|writer>journalist|painter|producer|visual artist>sculptor,United States,,,1883.0,22,February,1960.0
149,1534,Henderina Victoria Scott,Henderina (Rina) Victoria Klaassen|Mrs. D. H. Scott|Rina Scott,https://wfpp.columbia.edu/person/henderina-victoria-scott/,,cinematographer>experimental cinematographer,Great Britain,18,July,1862.0,18,January,1929.0
150,1535,Hettie Gray Baker,Hattie Gray Baker|Hatty Gray Baker|Hettie Grey Baker|Hetty Gray Baker,https://wfpp.columbia.edu/person/hettie-gray-baker/,https://wfpp.columbia.edu/wp-content/uploads/2011/12/WFP-BAK01.jpg,censor>censorship representative|actress>film actress|production editor|editor>scenario editor|writer>scenario writer|writer>screenwriter|title writer,United States,12,July,1881.0,14,November,1957.0
151,1536,Hope Loring,Mrs. Louis “Buddy” Lighton,https://wfpp.columbia.edu/person/hope-loring/,https://wfpp.columbia.edu/wp-content/uploads/2013/08/WFP-LOR03.jpg,extra|actress>film actress|writer>scenario writer|writer>screenwriter|critic>theatre critic,United States,29,January,1894.0,,,1959.0
152,1537,Ida Jenbach,Ida Jakobovits,https://wfpp.columbia.edu/person/ida-jenbach/,,adapter|director|dramaturge|guild co-founder|writer>journalist|writer>screenwriter|actress>theatre actress,Austria|Germany,4,June,1868.0,,,1943.0
153,1538,Ida May Park,Mrs. Joseph De Grasse,https://wfpp.columbia.edu/person/ida-may-park/,,director>co-director|editor|writer>screenwriter,United States,28,December,1879.0,13,June,1954.0
154,10,Irene Morra,,https://wfpp.columbia.edu/person/irene-morra/,,editor>film cutter,United States,31,July,1893.0,25,November,1978.0
155,11517,Iris Barry,,https://wfpp.columbia.edu/person/iris-barry/,https://wfpp.columbia.edu/wp-content/uploads/2015/10/WFP-BARRY02-featured-image.jpg,critic>film critic|film curator|writer>journalist|preservationist,Great Britain|United States,28,March,1895.0,22,December,1969.0
156,14299,Isabel Acuña,Isabel de Nepomuceno|Doña Isabel,https://wfpp.columbia.edu/person/isabel-acuna/,https://wfpp.columbia.edu/wp-content/uploads/2017/05/WFP2-ACU01.jpg,art director|casting director|costume designer|treasurer>film company treasurer|film company vice president|make-up supervisor|producer|production assistant|set decorator,The Philippines,28,January,1904.0,15,September,1986.0
157,1620,Isabel McDonagh,Marie Lorraine,https://wfpp.columbia.edu/person/isabel-mcdonagh/,https://wfpp.columbia.edu/wp-content/uploads/2012/08/isabell-mcdonagh.jpg,business partner>family business partner>family film business partner|actress>film actress|actress>theatre actress,Australia|Great Britain,3,January,1899.0,5,March,1982.0
158,1539,Jackeydawra Melford,Mrs. Wallace Colgate|Alice Bradshaw Jackeydora Melford,https://wfpp.columbia.edu/person/jackeydawra-melford/,https://wfpp.columbia.edu/wp-content/uploads/2016/11/WFP2-MELF01.jpg,director|actress>film actress|producer|actress>theatre actress,Great Britain,16,November,1888.0,12,December,1984.0
159,9,Jane Loring,,https://wfpp.columbia.edu/person/jane-loring/,https://wfpp.columbia.edu/wp-content/uploads/Cutting_Women_WFP-LORI021.jpg,director>assistant director|editor>film cutter,United States,6,June,1890.0,15,March,1983.0
160,1540,Jane Murfin,Allan Langdon Martin|Jane Macklem|Mrs. James Murfin|Mrs. Donald Crisp.,https://wfpp.columbia.edu/person/jane-murfin/,https://wfpp.columbia.edu/wp-content/uploads/Murfin_CCP_FIG198_WFP-MURF011.jpg,animal trainer|director>co-director|producer>co-producer|guild co-founder|writer>playwright|writer>screenwriter|writer>source author,United States,27,October,1884.0,10,August,1955.0
161,1541,Jeanie Macpherson,Jeanie MacPherson|Jeannie MacPherson,https://wfpp.columbia.edu/person/jeanie-macpherson/,https://wfpp.columbia.edu/wp-content/uploads/CCP_FIG9_Macpherson_WFP-MAC031.jpg,director|actress>film actress|writer>screenwriter,United States,18,May,1888.0,26,August,1946.0
162,1542,Jenny Gilbertson,Jenny Brown|Jenny Brown Gilbertson,https://wfpp.columbia.edu/person/jenny-gilbertson/,https://wfpp.columbia.edu/wp-content/uploads/2012/02/WFP2-GIL01.jpg,cinematographer|director|filmmaker>documentary maker|editor|producer|writer>screenwriter,Canada|Great Britain,28,October,1902.0,8,January,1990.0
163,10807,Jenny Strömberg,Johanna Strömberg|Johanna Charlotta Erling,https://wfpp.columbia.edu/person/jenny-stromberg/,,society matron,Finland,12,June,1858.0,,,
164,1543,Jessica Elvira Borthwick,Jessie Borthwick|Nell Foy,https://wfpp.columbia.edu/person/jessica-elvira-borthwick/,https://wfpp.columbia.edu/wp-content/uploads/2013/09/WFP2-BORT03-featured-image-e1510932477927.jpg,lecturer|cinematographer>war cinematographer|visual artist>photographer>war photographer,Great Britain,,,1888.0,,,1946.0
165,774,Josephine Clement,Mrs. Edward Clement,https://wfpp.columbia.edu/person/josephine-clement/,,manager|exhibitor>motion picture exhibitor,United States,,,,,,
166,1544,Josephine Lovett,Mrs. John  S. Robertson,https://wfpp.columbia.edu/person/josephine-lovett/,https://wfpp.columbia.edu/wp-content/uploads/CCP_FIG182_LOVETT_WFP-LOV011.jpg,adapter|actress>film actress|writer>scenario writer|writer>screenwriter|actress>theatre actress,United States,21,October,1877.0,17,September,1958.0
167,1545,Josephine Rector,Mrs. Hal Angus|Josephine Pickel,https://wfpp.columbia.edu/person/josephine-rector/,https://wfpp.columbia.edu/wp-content/uploads/2013/08/WFP-REC01.jpg,writer>scenario writer>chief scenario writer|actress>film actress|editor>scenario editor|writer>screenwriter,United States,25,September,1885.0,1,October,1958.0
168,1547,Julia Crawford Ivers,J. C. Ivers|Julia Ivers|Lady of the Shadows,https://wfpp.columbia.edu/person/julia-crawford-ivers/,https://wfpp.columbia.edu/wp-content/uploads/Ivers_CCP_FIG163_WFP-IVE011.jpg,director>co-director|writer>screenwriter>co-screenwriter|editor>film cutter|producer|production supervisor|writer>scenario writer,United States,3,October,1867.0,9,May,1930.0
169,1548,Juliet Barrett Rublee,,https://wfpp.columbia.edu/person/juliet-barrett-rublee/,https://wfpp.columbia.edu/wp-content/uploads/Rublee_CCP_FIG217A_WFP-RUB011.jpg,director>assistant director|producer|writer>screenwriter,Mexico|United States,2,March,1875.0,17,May,1966.0
170,1549,June Mathis,Mrs. Sylvano Balboni,https://wfpp.columbia.edu/person/june-mathis/,https://wfpp.columbia.edu/wp-content/uploads/Mathis_CCP_FIG192_WFP-MAT041.jpg,adapter|writer>screenwriter>co-screenwriter|director|editor|producer>executive producer|production supervisor,United States,,January,1887.0,26,July,1927.0
171,1550,Kate Corbaley,Kate Hinckley|Katherine Hinckley,https://wfpp.columbia.edu/person/kate-corbaley/,https://wfpp.columbia.edu/wp-content/uploads/2013/08/Corbaley_CCP_FIGXWFP-COR011-204x300.jpg,reader|editor>scenario editor|writer>screenwriter|writer>source author,United States,,,1879.0,23,September,1938.0
172,1551,Kate Howarde,Catherine Clarissa Black|Catherine Clarissa Jones|Mrs. William Henry de Saxe,https://wfpp.columbia.edu/person/kate-howarde/,https://wfpp.columbia.edu/wp-content/uploads/2012/02/WFP2-HOWA01.jpg,director>co-director|writer>screenwriter>co-screenwriter|actress>film actress|actress>musical comedy actress|writer>playwright|producer|actress>theatre actress|critic>theatre critic|director>theatre director|entrepreneur>theatrical entrepreneur,Australia|New Zealand|United States,28,July,1864.0,18,February,1939.0
173,1552,Katharine Hilliker,Katharine Clark|Katharine Clark Caldwell|Katharine C. Prosser,https://wfpp.columbia.edu/person/katharine-hilliker/,https://wfpp.columbia.edu/wp-content/uploads/2012/02/WFP-HIL01.jpg,writer>journalist|personal assistant|writer>playwright|production editor|editor>scenario editor|title writer,United States,25,April,1885.0,6,December,1965.0
174,17058,Kathleen Romoli,Kathleen Martin|Kathleen Whitnack|Kathleen Avery,https://wfpp.columbia.edu/person/kathleen-romoli/,https://wfpp.columbia.edu/wp-content/uploads/2013/08/WFP-ROM01.jpg,anthropologist|filmmaker>ethnographic filmmaker|scholar>historian|filmmaker>travelogue filmmaker|writer,Colombia,5,December,1897.0,,,1979.0
175,1553,Kathlyn Williams,Kathleen Williams,https://wfpp.columbia.edu/person/kathlyn-williams/,https://wfpp.columbia.edu/wp-content/uploads/Williams_CCP_FIG245_WFP-WIL011.jpg,director|actress>film actress|writer>screenwriter,United States,31,May,1888.0,24,September,1960.0
