id, value
jobs.writer,339
jobs.writer.co-writer,1
jobs.writer.journalist,45
jobs.writer.journalist.celebrity-interviewer,1
jobs.writer.journalist.fan-magazine-writer,1
jobs.writer.journalist.film-magazine-writer,1
jobs.writer.journalist.gossip-columnist,1
jobs.writer.journalist.magazine-editor,6
jobs.writer.journalist.magazine-editor.arts-magazine-editor,1
jobs.writer.journalist.magazine-editor.fan-magazine-editor,1
jobs.writer.journalist.magazine-editor.film-magazine-editor,2
jobs.writer.journalist.magazine-editor.trade-journal-editor,2
jobs.writer.journalist.newspaper-editor,1
jobs.writer.novelist,23
jobs.writer.novelist.short-story-writer,1
jobs.writer.playwright,29
jobs.writer.poet,3
jobs.writer.scenario-writer,34
jobs.writer.scenario-writer.chief-scenario-writer,1
jobs.writer.scenario-writer.scenario-department-head,1
jobs.writer.screenwriter,168
jobs.writer.screenwriter.co-screenwriter,32
jobs.writer.source-author,27
jobs.writer.source-author.original-story-writer,2
