,ID,Name,Pseudonyms,Link,Picture,Jobs,Born,Died,Lived in
25,10776,Elsa Chauvel,Elsie May Wilcox|Elsa Silveni/Sylvaney|Ann Wynn,https://wfpp.columbia.edu/person/elsa-chauvel/,https://wfpp.columbia.edu/wp-content/uploads/2015/07/WFP-CHAU02.jpg,director|producer|writer|continuity|dressmaker|director|actress|make-up|producer|stunt person,1898,1983,United States
26,1565,Louise Lovely,Louise Carbasse|Louise Welch,https://wfpp.columbia.edu/person/louise-lovely/,https://wfpp.columbia.edu/wp-content/uploads/2012/02/WFP2-LOVE03.jpg,director|writer|director|editor|actress|producer|designer,1895,1980,Australia
27,1565,Louise Lovely,Louise Carbasse|Louise Welch,https://wfpp.columbia.edu/person/louise-lovely/,https://wfpp.columbia.edu/wp-content/uploads/2012/02/WFP2-LOVE03.jpg,director|writer|director|editor|actress|producer|designer,1895,1980,United States
28,17005,Louise Kolm-Fleck,Louise/Luise Veltée|Louise/Luise Kolm|Louise/Luise Fleck,https://wfpp.columbia.edu/person/louise-kolm-fleck/,https://wfpp.columbia.edu/wp-content/uploads/2018/08/WFP2-FLE01-featured-imagejpg.jpg,director|producer|writer|film company founding partner,1873,1950,Austria
29,17005,Louise Kolm-Fleck,Louise/Luise Veltée|Louise/Luise Kolm|Louise/Luise Fleck,https://wfpp.columbia.edu/person/louise-kolm-fleck/,https://wfpp.columbia.edu/wp-content/uploads/2018/08/WFP2-FLE01-featured-imagejpg.jpg,director|producer|writer|film company founding partner,1873,1950,China
30,17005,Louise Kolm-Fleck,Louise/Luise Veltée|Louise/Luise Kolm|Louise/Luise Fleck,https://wfpp.columbia.edu/person/louise-kolm-fleck/,https://wfpp.columbia.edu/wp-content/uploads/2018/08/WFP2-FLE01-featured-imagejpg.jpg,director|producer|writer|film company founding partner,1873,1950,Germany
31,1537,Ida Jenbach,Ida Jakobovits,https://wfpp.columbia.edu/person/ida-jenbach/,,adapter|director|dramaturge|co-founder|writer|actress,1868,1943,Austria
32,1537,Ida Jenbach,Ida Jakobovits,https://wfpp.columbia.edu/person/ida-jenbach/,,adapter|director|dramaturge|co-founder|writer|actress,1868,1943,Germany
33,1404,Carmen Cartellieri,Franziska Ottilia Cartellieri|Carmen Teschen|Mrs. Emanuel Ziffer Edler von Teschenbruck|Mrs. Mano Ziffer-Teschenbruck,https://wfpp.columbia.edu/person/carmen-cartellieri/,https://wfpp.columbia.edu/wp-content/uploads/2013/08/WFP2-CART09.jpg,writer|actress|producer,1891,1953,Austria
34,1404,Carmen Cartellieri,Franziska Ottilia Cartellieri|Carmen Teschen|Mrs. Emanuel Ziffer Edler von Teschenbruck|Mrs. Mano Ziffer-Teschenbruck,https://wfpp.columbia.edu/person/carmen-cartellieri/,https://wfpp.columbia.edu/wp-content/uploads/2013/08/WFP2-CART09.jpg,writer|actress|producer,1891,1953,Germany
35,1404,Carmen Cartellieri,Franziska Ottilia Cartellieri|Carmen Teschen|Mrs. Emanuel Ziffer Edler von Teschenbruck|Mrs. Mano Ziffer-Teschenbruck,https://wfpp.columbia.edu/person/carmen-cartellieri/,https://wfpp.columbia.edu/wp-content/uploads/2013/08/WFP2-CART09.jpg,writer|actress|producer,1891,1953,Hungary
36,1405,Carmen Santos,Maria do Carmo Santos,https://wfpp.columbia.edu/person/carmen-santos/,https://wfpp.columbia.edu/wp-content/uploads/2013/08/WFP-SANT08.jpg,director|actress|film company founding partner|producer|writer,1904,1952,Brazil
37,17726,Cleo de Verberena,Jacyra Martins da Silveira,https://wfpp.columbia.edu/person/cleo-de-verberena/,https://wfpp.columbia.edu/wp-content/uploads/2018/11/WFP-VER06-e1542400402414.jpg,director|actress|film company founding partner|film company owner,1904,1972,Brazil
38,21695,Eva Nil,Eva Comello,https://wfpp.columbia.edu/person/eva-nil/,https://wfpp.columbia.edu/wp-content/uploads/2020/07/WFP2-NIL01-scaled.jpg,actress|film company owner|producer,1909,1990,Brazil
39,13054,Dorothea Mitchell,“Lady Lumberjack”,https://wfpp.columbia.edu/person/dorothea-mitchell/,https://wfpp.columbia.edu/wp-content/uploads/2016/07/WFP2-MIT03-featured-image.jpg,filmmaker|cinematographer|director|editor|actress|co-founder|producer|writer,1877,1976,Canada
40,11709,Emma Gendron,Manon|Mrs. Allan Robert Green,https://wfpp.columbia.edu/person/emma-gendron/,,writer,1895,1953,Canada
41,12315,May Watkis,Hilda May Gowen|May Gowen Watkis|M.G. Watkis|May G. Watkis,https://wfpp.columbia.edu/person/may-watkis/,https://wfpp.columbia.edu/wp-content/uploads/2020/04/WFP2-WAT02-featured-image-e1586527694737.jpg,censor|government official|projectionist,1879,1940,Canada
42,12816,Lotte Reiniger,,https://wfpp.columbia.edu/person/lotte-reiniger/,https://wfpp.columbia.edu/wp-content/uploads/2017/09/WFP2-REI02-featrued-images.jpg,animator|director|director|actress|visual artist|writer|cinematographer,1899,1981,Canada
43,12816,Lotte Reiniger,,https://wfpp.columbia.edu/person/lotte-reiniger/,https://wfpp.columbia.edu/wp-content/uploads/2017/09/WFP2-REI02-featrued-images.jpg,animator|director|director|actress|visual artist|writer|cinematographer,1899,1981,England
44,12816,Lotte Reiniger,,https://wfpp.columbia.edu/person/lotte-reiniger/,https://wfpp.columbia.edu/wp-content/uploads/2017/09/WFP2-REI02-featrued-images.jpg,animator|director|director|actress|visual artist|writer|cinematographer,1899,1981,Germany
45,12816,Lotte Reiniger,,https://wfpp.columbia.edu/person/lotte-reiniger/,https://wfpp.columbia.edu/wp-content/uploads/2017/09/WFP2-REI02-featrued-images.jpg,animator|director|director|actress|visual artist|writer|cinematographer,1899,1981,Italy
46,11496,Marie de Kerstrat,Marie Joséphine Charlotte de Tréourret de Kerstrat|Countess Gustave de Grandsaignes d’Hauterives,https://wfpp.columbia.edu/person/marie-de-kerstrat/,https://wfpp.columbia.edu/wp-content/uploads/2015/09/WFP2-KER01.jpg,business partner|exhibitor|manager,1841,1920,Canada
47,11496,Marie de Kerstrat,Marie Joséphine Charlotte de Tréourret de Kerstrat|Countess Gustave de Grandsaignes d’Hauterives,https://wfpp.columbia.edu/person/marie-de-kerstrat/,https://wfpp.columbia.edu/wp-content/uploads/2015/09/WFP2-KER01.jpg,business partner|exhibitor|manager,1841,1920,France
48,11496,Marie de Kerstrat,Marie Joséphine Charlotte de Tréourret de Kerstrat|Countess Gustave de Grandsaignes d’Hauterives,https://wfpp.columbia.edu/person/marie-de-kerstrat/,https://wfpp.columbia.edu/wp-content/uploads/2015/09/WFP2-KER01.jpg,business partner|exhibitor|manager,1841,1920,United States
49,1542,Jenny Gilbertson,Jenny Brown|Jenny Brown Gilbertson,https://wfpp.columbia.edu/person/jenny-gilbertson/,https://wfpp.columbia.edu/wp-content/uploads/2012/02/WFP2-GIL01.jpg,cinematographer|director|filmmaker|editor|producer|writer,1902,1990,Canada
50,1542,Jenny Gilbertson,Jenny Brown|Jenny Brown Gilbertson,https://wfpp.columbia.edu/person/jenny-gilbertson/,https://wfpp.columbia.edu/wp-content/uploads/2012/02/WFP2-GIL01.jpg,cinematographer|director|filmmaker|editor|producer|writer,1902,1990,Scotland
51,1599,Nell Shipman,Helen Foster-Barham|Helen Shipman|Helen Barham Shipman,https://wfpp.columbia.edu/person/nell-shipman/,https://wfpp.columbia.edu/wp-content/uploads/Shipman_CCP_FIG223_WFP-SHI021.jpg,director|editor|actress|film company owner|producer|writer,1892,1970,Canada
52,1599,Nell Shipman,Helen Foster-Barham|Helen Shipman|Helen Barham Shipman,https://wfpp.columbia.edu/person/nell-shipman/,https://wfpp.columbia.edu/wp-content/uploads/Shipman_CCP_FIG223_WFP-SHI021.jpg,director|editor|actress|film company owner|producer|writer,1892,1970,United States
53,12341,Ray Lewis,Rae Levinsky|Ray L. Levinsky|Mrs. Joshua Smith,https://wfpp.columbia.edu/person/ray-lewis/,https://wfpp.columbia.edu/wp-content/uploads/2015/04/WFP2-LEW01.jpg,dancer|distributor|exhibitor|critic|writer|actress|editor|publisher|dressmaker,1883,1954,Canada
54,12341,Ray Lewis,Rae Levinsky|Ray L. Levinsky|Mrs. Joshua Smith,https://wfpp.columbia.edu/person/ray-lewis/,https://wfpp.columbia.edu/wp-content/uploads/2015/04/WFP2-LEW01.jpg,dancer|distributor|exhibitor|critic|writer|actress|editor|publisher|dressmaker,1883,1954,United States
55,1362,Alicia Armstrong de Vicuña,,https://wfpp.columbia.edu/person/alicia-armstrong-de-vicuna/,,director,Unknown,Unknown,Chile
56,1509,Gabriela von Bussenius Vega,The first Chilean female filmmaker|Mrs. Salvador Giambastiani|Gaby von Bussenius Vega,https://wfpp.columbia.edu/person/gaby-von-bussenius-vega/,https://wfpp.columbia.edu/wp-content/uploads/CCP_FIG263_Vega_WFP-VEG011.jpg,art director|critic|writer|producer|writer|director,1901,1975,Chile
57,1606,Rosario Rodríguez de la Serna,,https://wfpp.columbia.edu/person/rosario-rodriguez-de-la-serna/,,director|actress|film company owner|producer,Unknown,Unknown,Chile
58,15129,Helen Wang,Wang Hanlun/王漢倫|Peng Jianqing/彭劍青,https://wfpp.columbia.edu/person/helen-wang/,https://wfpp.columbia.edu/wp-content/uploads/2015/07/WFP2-WANGH02-e1505159308347.jpg,director|distributor|editor|actress|producer,1903,1978,China
59,16213,Pearl Ing,Yin Mingzhu/殷明珠|Yin Shangxian/殷尚賢|Longguan|Miss F.F.,https://wfpp.columbia.edu/person/pearl-ing/,https://wfpp.columbia.edu/wp-content/uploads/2018/02/Pearl-Ing-featured-image-e1520015062760.jpg,actress|investor|producer,1904,1989,China
60,10693,Pu Shunqing,濮舜卿,https://wfpp.columbia.edu/person/pu-shunqing-2/,https://wfpp.columbia.edu/wp-content/uploads/2014/12/WFP2-SHUN06-FI.jpg,director|actress|writer,1902,Unknown,China
61,16243,Xie Caizhen,謝采貞,https://wfpp.columbia.edu/person/xie-caizhen/,https://wfpp.columbia.edu/wp-content/uploads/2015/05/WFP2-XIE01.jpg,director|actress,Unknown,Unknown,China
62,16184,Yang Naimei,楊耐梅|Yang Lizhu/楊麗珠,https://wfpp.columbia.edu/person/yang-naimei/,https://wfpp.columbia.edu/wp-content/uploads/2015/08/WFP2-YANGN02.jpg,dressmaker|actress|film company owner|producer|writer,1904,1960,China
63,14312,Fan Xuepeng,范雪朋|姚雄飛,https://wfpp.columbia.edu/person/fan-xuepeng/,https://wfpp.columbia.edu/wp-content/uploads/2017/05/WFP2-FAN04-featured-e1494880549630.jpg,actress|film company owner|producer|engineer|designer|actress,1908,1974,China
64,14312,Fan Xuepeng,范雪朋|姚雄飛,https://wfpp.columbia.edu/person/fan-xuepeng/,https://wfpp.columbia.edu/wp-content/uploads/2017/05/WFP2-FAN04-featured-e1494880549630.jpg,actress|film company owner|producer|engineer|designer|actress,1908,1974,Hong Kong
65,20995,Yan Shanshan,嚴珊珊|嚴淑姬|絳貞|誠意|Yim San-san|Lily Yam,https://wfpp.columbia.edu/person/yan-shanshan/,https://wfpp.columbia.edu/wp-content/uploads/2020/02/WFP2-SHAN04-featured-image.jpg,agent|business partner|actress,1896,1951,China
66,20995,Yan Shanshan,嚴珊珊|嚴淑姬|絳貞|誠意|Yim San-san|Lily Yam,https://wfpp.columbia.edu/person/yan-shanshan/,https://wfpp.columbia.edu/wp-content/uploads/2020/02/WFP2-SHAN04-featured-image.jpg,agent|business partner|actress,1896,1951,Hong Kong
67,14747,Tazuko Sakane,坂根田鶴子|佐久間田鶴子,https://wfpp.columbia.edu/person/tazuko-sakane/,https://wfpp.columbia.edu/wp-content/uploads/2017/07/WFP2-SAK02.jpeg,director|editor|writer|script,1904,1975,China
68,14747,Tazuko Sakane,坂根田鶴子|佐久間田鶴子,https://wfpp.columbia.edu/person/tazuko-sakane/,https://wfpp.columbia.edu/wp-content/uploads/2017/07/WFP2-SAK02.jpeg,director|editor|writer|script,1904,1975,Japan
